station,connecting_line,connecting_lineLabel,coordinate_location,stationLabel
http://www.wikidata.org/entity/Q3309828,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.603226 -23.480065),Estação Tucuruvi
http://www.wikidata.org/entity/Q10276198,http://www.wikidata.org/entity/Q5245789,Linha 12 do Trem Metropolitano de São Paulo,Point(-46.501093 -23.485556),Estação USP Leste
http://www.wikidata.org/entity/Q10276206,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.544078 -23.6261442),Estação Utinga
http://www.wikidata.org/entity/Q18475846,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.711944444 -23.770833333),Estação Varginha
http://www.wikidata.org/entity/Q7921287,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.63986 -23.568958),Estação Vergueiro
http://www.wikidata.org/entity/Q10276217,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.747304 -23.437729),Estação Vila Aurora
http://www.wikidata.org/entity/Q8779178,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.7444 -23.4698),Estação Vila Clarice
http://www.wikidata.org/entity/Q5244825,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.69083 -23.546513),Estação Vila Madalena
http://www.wikidata.org/entity/Q5686126,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.634667 -23.589431),Estação Vila Mariana
http://www.wikidata.org/entity/Q7929998,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.530691 -23.531894),Estação Vila Matilde
http://www.wikidata.org/entity/Q10276222,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.69271 -23.593477),Estação Vila Olímpia
http://www.wikidata.org/entity/Q18475862,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.52721 -23.60083),Estação Vila Tolstói
http://www.wikidata.org/entity/Q18475867,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.51554 -23.60296),Estação Vila União
http://www.wikidata.org/entity/Q5845376,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.745849 -23.640425),Estação Vila das Belezas
http://www.wikidata.org/entity/Q10276226,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.732805555 -23.546027777),Estação Villa Lobos-Jaguaré
http://www.wikidata.org/entity/Q10276231,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.82953666 -23.2090989),Estação Várzea Paulista
http://www.wikidata.org/entity/Q2983699,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.63528 -23.53509),Estação da Luz
http://www.wikidata.org/entity/Q2983699,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.63528 -23.53509),Estação da Luz
http://www.wikidata.org/entity/Q8842747,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.6893 -23.5213),Estação Água Branca
http://www.wikidata.org/entity/Q111926727,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.720428 -23.655693),Santo Amaro
http://www.wikidata.org/entity/Q5170696,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.471159 -23.542207),Terminal Intermodal Corinthians-Itaquera
http://www.wikidata.org/entity/Q5170696,http://www.wikidata.org/entity/Q5245830,Linha 11 do Trem Metropolitano de São Paulo,Point(-46.471159 -23.542207),Terminal Intermodal Corinthians-Itaquera
http://www.wikidata.org/entity/Q5244789,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.640112 -23.647134),Terminal Intermodal Jabaquara
http://www.wikidata.org/entity/Q3293864,http://www.wikidata.org/entity/Q3296728,Linha 7 do Trem Metropolitano de São Paulo,Point(-46.667358 -23.525505),Terminal Intermodal Palmeiras-Barra Funda
http://www.wikidata.org/entity/Q3293864,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.667358 -23.525505),Terminal Intermodal Palmeiras-Barra Funda
http://www.wikidata.org/entity/Q7195875,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.70193 -23.56726),Terminal Intermodal Pinheiros
http://www.wikidata.org/entity/Q48855691,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.50084 -23.61471),Terminal Intermodal Sapopemba
http://www.wikidata.org/entity/Q19707353,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.47745 -23.61227),Terminal Intermodal São Mateus
http://www.wikidata.org/entity/Q5692522,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.581999 -23.584519),Terminal Intermodal Vila Prudente
http://www.wikidata.org/entity/Q5692522,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.581999 -23.584519),Terminal Intermodal Vila Prudente
http://www.wikidata.org/entity/Q7930027,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.73334 -23.59145),Terminal Intermodal Vila Sônia
